date,year,month,ticker,firm,marketcap
2018-01-01,2018,1,EREGL,EREGLI DEMIR CELIK,34825000.0
2018-01-01,2018,1,IZMDC,IZMIR DEMIR CELIK,1196250.0
2018-01-01,2018,1,KRDMA,KARDEMIR (A),754553.4488701801
2018-01-01,2018,1,KRDMB,KARDEMIR (B),376331.60950560006
2018-01-01,2018,1,KRDMD,KARDEMIR (D),2637163.8855398204
2018-01-01,2018,1,SARKY,SARKUYSAN,658000.0
2018-01-01,2018,1,ALCAR,ALARKO CARRIER,649620.0
2018-01-01,2018,1,ASUZU,ANADOLU ISUZU,1226400.0
2018-01-01,2018,1,ARCLK,ARCELIK,12879379.587299999
2018-01-01,2018,1,BFREN,BOSCH FREN SISTEMLERI,506250.0
2018-01-01,2018,1,DITAS,DITAS DOGAN,68400.0
2018-01-01,2018,1,EGEEN,EGE ENDUSTRI,1114155.0
2018-01-01,2018,1,EMKEL,EMEK ELEKTRIK,39366.0
2018-01-01,2018,1,EMNIS,EMINIS AMBALAJ,28767.999999999996
2018-01-01,2018,1,FMIZP,F-M IZMIT PISTON,246417.39540000004
2018-01-01,2018,1,FROTO,FORD OTOSAN,21054600.0
2018-01-01,2018,1,GEREL,GERSAN ELEKTRIK,217000.0
2018-01-01,2018,1,IHEVA,IHLAS EV ALETLERI,99512.4007176
2018-01-01,2018,1,KARSN,KARSAN OTOMOTIV,1332000.0
2018-01-01,2018,1,KLMSN,KLIMASAN KLIMA,248160.0
2018-01-01,2018,1,MAKTK,MAKINA TAKIM,405999.99999999994
2018-01-01,2018,1,OTKAR,OTOKAR,2964000.0
2018-01-01,2018,1,PARSN,PARSAN,979322.4
2018-01-01,2018,1,SILVR,SILVERLINE ENDUSTRI,96415.4394
2018-01-01,2018,1,TOASO,TOFAS OTO. FAB.,15950000.0
2018-01-01,2018,1,PRKAB,TURK PRYSMIAN KABLO,350082.1204400001
2018-01-01,2018,1,TTRAK,TURK TRAKTOR,4216151.0
2018-01-01,2018,1,VESTL,VESTEL,3438426.81875
2018-01-01,2018,1,VESBE,VESTEL BEYAZ ESYA,1871500.0
2018-01-01,2018,1,ADEL,ADEL KALEMCILIK,398081.25000000006
2018-01-01,2018,1,SERVE,SERVE KIRTASIYE,6935.69547
2018-01-01,2018,1,AKENR,AK ENERJI,743747.28
2018-01-01,2018,1,AKSUE,AKSU ENERJI,106920.0
2018-01-01,2018,1,AYEN,AYEN ENERJI,1474384.6259999997
2018-01-01,2018,1,ZOREN,ZORLU ENERJI,4019999.9999999995
2018-01-01,2018,1,EDIP,EDIP GAYRIMENKUL,79950.0
2018-01-01,2018,1,ENKAI,ENKA INSAAT,25990000.0
2018-01-01,2018,1,DOAS,DOGUS OTOMOTIV,1953600.0000000002
2018-01-01,2018,1,INTEM,INTEMA,215492.40000000002
2018-01-01,2018,1,SANKO,SANKO PAZARLAMA,272800.0
2018-01-01,2018,1,SELEC,SELCUK ECZA DEPOSU,2477790.0
2018-01-01,2018,1,BIMAS,BIM MAGAZALAR,22815540.0
2018-01-01,2018,1,MIPAZ,MILPA,349575.70592000004
2018-01-01,2018,1,VAKKO,VAKKO TEKSTIL,568000.0
2018-01-01,2018,1,AYCES,ALTINYUNUS CESME,87302.61540000001
2018-01-01,2018,1,MAALT,MARMARIS ALTINYUNUS,88634.66352
2018-01-01,2018,1,MARTI,MARTI OTEL,115200.0
2018-01-01,2018,1,METUR,METEMTUR OTELCILIK,40320.00000000001
2018-01-01,2018,1,PKENT,PETROKENT TURIZM,52254.72
2018-01-01,2018,1,TEKTU,TEK-ART TURIZM,183729.56994
2018-01-01,2018,1,CLEBI,CELEBI,874313.9999999999
2018-01-01,2018,1,RYSAS,REYSAS LOJISTIK,164703.0
2018-01-01,2018,1,THYAO,TURK HAVA YOLLARI,22742400.0
2018-01-01,2018,1,TCELL,TURKCELL,34342000.0
2018-01-01,2018,1,TTKOM,TURK TELEKOM,22190000.0
2018-01-01,2018,1,BJKAS,BESIKTAS FUTBOL YAT.,967200.0000000001
2018-01-01,2018,1,FENER,FENERBAHCE FUTBOL,948511.2
2018-01-01,2018,1,GSRAY,GALATASARAY SPORTIF,673920.0
2018-01-01,2018,1,TSPOR,TRABZONSPOR SPORTIF,227999.99999999997
2018-01-01,2018,1,SONME,SONMEZ FILAMENT,284810.2
2018-01-01,2018,1,AKBNK,AKBANK,43680000.0
2018-01-01,2018,1,ALBRK,ALBARAKA TURK,1440000.0
2018-01-01,2018,1,GARAN,GARANTI BANKASI,51618000.0
2018-01-01,2018,1,ISATR,IS BANKASI (A),17000.0
