,date,year,month,ticker,firm,marketcap,Sector
22709,2017-10-01,2017,10,METUR,METEMTUR OTELCILIK,27180.0,turizm
22710,2017-10-01,2017,10,PKENT,PETROKENT TURIZM,51840.0,turizm
22711,2017-10-01,2017,10,TEKTU,TEK-ART TURIZM,128319.06472,turizm
22712,2017-10-01,2017,10,CLEBI,CELEBI,850500.0,ulastirma
22713,2017-10-01,2017,10,RYSAS,REYSAS LOJISTIK,161122.5,ulastirma
22714,2017-10-01,2017,10,THYAO,TURK HAVA YOLLARI,14324400.0,ulastirma
22715,2017-10-01,2017,10,TCELL,TURKCELL,31174000.0,haberlesme
22716,2017-10-01,2017,10,TTKOM,TURK TELEKOM,22575000.0,haberlesme
22717,2017-10-01,2017,10,BJKAS,BESIKTAS FUTBOL YAT.,1082400.0,spor
22718,2017-10-01,2017,10,FENER,FENERBAHCE FUTBOL,976791.2,spor
22719,2017-10-01,2017,10,GSRAY,GALATASARAY SPORTIF,897480.0,spor
22720,2017-10-01,2017,10,TSPOR,TRABZONSPOR SPORTIF,255000.0,spor
22721,2017-10-01,2017,10,SONME,SONMEZ FILAMENT,225941.95,gayrimenkul
22722,2017-10-01,2017,10,AKBNK,AKBANK,40040000.0,finans
22723,2017-10-01,2017,10,ALBRK,ALBARAKA TURK,1170000.0,finans
22724,2017-10-01,2017,10,GARAN,GARANTI BANKASI,43806000.0,finans
22725,2017-10-01,2017,10,ISATR,IS BANKASI (A),18195.0,finans
22726,2017-10-01,2017,10,ISBTR,IS BANKASI (B),35817.9,finans
22727,2017-10-01,2017,10,ISCTR,IS BANKASI (C),32129785.8,finans
22728,2017-10-01,2017,10,SKBNK,SEKERBANK,1771740.0,finans
22729,2017-10-01,2017,10,HALKB,T. HALK BANKASI,13825000.0,finans
22730,2017-10-01,2017,10,TSKB,T.S.K.B.,3288000.0,finans
22731,2017-10-01,2017,10,VAKBN,VAKIFLAR BANKASI,15825000.0,finans
22732,2017-10-01,2017,10,YKBNK,YAPI VE KREDI BANK.,19996435.9064,finans
22733,2017-10-01,2017,10,AKGRT,AKSIGORTA,957780.0,finans
22734,2017-10-01,2017,10,ANHYT,ANADOLU HAYAT EMEK.,2902500.0,finans
22735,2017-10-01,2017,10,ANSGR,ANADOLU SIGORTA,1430000.0,finans
22736,2017-10-01,2017,10,GUSGR,GUNES SIGORTA,448200.0,finans
22737,2017-10-01,2017,10,RAYSG,RAY SIGORTA,277218.7552,finans
22738,2017-10-01,2017,10,CRDFA,CREDITWEST FAKTORING,113600.0,finans
22739,2017-10-01,2017,10,GARFA,GARANTI FAKTORING,292560.0,finans
22740,2017-10-01,2017,10,ISFIN,IS FIN.KIR.,1033981.20555,finans
22741,2017-10-01,2017,10,SEKFK,SEKER FIN. KIR.,112950.0,finans
22742,2017-10-01,2017,10,VAKFN,VAKIF FIN. KIR.,250700.0,finans
22743,2017-10-01,2017,10,ALARK,ALARKO HOLDING,1667063.82,enerji
22744,2017-10-01,2017,10,BRYAT,BORUSAN YAT. PAZ.,1173375.0,holding
22745,2017-10-01,2017,10,DOHOL,DOGAN HOLDING,2407583.22496,holding
22746,2017-10-01,2017,10,ECILC,ECZACIBASI ILAC,3159048.6,holding
22747,2017-10-01,2017,10,ECZYT,ECZACIBASI YATIRIM,1201200.0,holding
22748,2017-10-01,2017,10,GLYHO,GLOBAL YAT. HOLDING,1065655.1004711,holding
22749,2017-10-01,2017,10,GSDHO,GSD HOLDING,351000.0,holding
22750,2017-10-01,2017,10,IHLAS,IHLAS HOLDING,482144.0,holding
22751,2017-10-01,2017,10,KCHOL,KOC HOLDING,43008830.928,holding
22752,2017-10-01,2017,10,MZHLD,MAZHAR ZORLU HOLDING,42043.68,holding
22753,2017-10-01,2017,10,NTHOL,NET HOLDING,1167223.18959,holding
22754,2017-10-01,2017,10,SISE,SISE CAM,10012500.0,camseramik
